=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.04.08 13:18:34 =~=~=~=~=~=~=~=~=~=~=~=
>-246 69 2322 -5 35 29
>-2>-246 71 2318 -15 37 30
>-247 74 2320 -8 39 34
>-240 69 2319 -10 37 29
>-241 67 2321 -13 41 26
>-250 73 2321 -16 37 28
>-241 66 2327 -11 40 26
>-237 66 2326 -14 38 28
>-239 67 2322 -12 39 25
>-238 67 2328 -10 38 30
>-241 68 2322 -10 37 28
>-245 67 2313 -19 36 33
>-243 72 2319 -12 32 33
>-242 68 2316 -10 33 29
>-245 68 2321 -19 40 33
>-243 69 2332 -17 38 30
>-240 70 2316 -10 35 28
>-238 67 2319 -16 37 28
>-246 67 2325 -24 42 34
>-243 70 2315 -14 39 26
>-247 70 2317 -16 36 28
>-249 70 2325 -15 43 32
>-251 71 2321 -10 34 32
>-243 65 2323 -12 36 27
>-245 64 2328 -16 41 27
>-243 65 2323 -18 39 33
>-241 72 2324 -10 32 36
>-239 71 2330 -12 35 31
>-240 71 2325 -19 39 32
>-236 68 2325 -18 40 31
>-241 66 2319 -10 43 31
>-240 65 2323 -19 34 33
>-242 68 2323 -15 39 36
>-244 74 2323 -11 40 33
>-247 69 2323 -19 37 35
>-248 69 2327 -15 41 34
>-248 70 2321 -9 36 31
>-247 68 2322 -10 36 25
>-246 67 2320 -14 38 29
>-241 68 2323 -13 38 31
>-238 68 2324 -11 38 31
>-243 63 2329 -5 33 31
>-244 66 2320 -13 42 32
>-242 72 2322 -13 40 29
>-245 70 2320 -18 41 29
>-245 66 2323 -14 47 27
>-249 70 2322 -14 35 28
>-244 69 2328 -14 38 30
>-244 71 2318 -11 39 31
>-246 69 2321 -17 35 32
>-239 68 2327 -18 41 32
>-243 70 2321 -15 38 35
>-240 68 2321 -19 37 31
>-236 67 2323 -17 36 34
>-239 68 2319 -15 34 32
>-246 66 2324 -13 38 31
>-244 62 2327 -12 38 27
>-245 69 2321 -16 38 27
>-245 71 2321 -14 37 32
>-248 66 2323 -16 40 33
>-250 70 2322 -15 39 30
>-249 71 2322 -15 36 32
>-242 66 2316 -14 35 28
>-237 63 2321 -14 34 31
