|0|69402314 86616570 103676105 123569309 157458998 198908298 249688582 327625827 394592651 481806342 670067250 892519235 1127930242 1431658404 1591114368 1689319882 1794461586 1447060289 777202011 443326982 238051037 250134282 404595072 406427990 297619082 196195393 129876918 75909842 57073317 52088876 44709188 36477752 26099984 15544906 8243254 4007949 2885654 3187444 4765410 6975910 8412038 8683786 7826090 7321378 7845117 8881809 9710762 10429289 10911933 10984717 11122836 11265722 11382129 11597537 11688445 12059654 12432778 12717146 12618760 12311797 12078763 11078429 9979394 9427837 9205270 8688693 8333881 8274257 8309309 8500593 8473314 8198163 7957453 7453022 6892009 5918157 5097406 4482228 4163105 4257857 4468184 4727748 4944045 5110758 5161829 4936803 4601546 4405129 4139677 4154732 4400523 4613234 4918718 5176491 5436845 5545937 5731208 6069620 6339555 6467018 |-|
|1|52966085 55156686 69461291 90100121 119209641 162801549 213583576 260528877 324503917 397466186 464936435 548726891 687116886 858835445 943883574 913281976 774470745 576977761 411362060 343892434 316821510 236058261 124652538 55905236 30543037 25179320 33144219 49781908 59576045 61532113 59275169 52961342 46198386 41397179 35653484 35248596 40032573 48110645 57637992 67517643 83733515 99035283 97717085 95548554 96464809 92706901 85612030 78490145 76194929 73448430 63541869 51341502 40842686 32341049 26589932 22239510 15160994 8082761 5491001 5633558 7473366 8473614 8555022 7453022 6274851 4721294 3858037 4339268 5001821 5156726 5329122 5413681 5397438 4922618 4375193 4104936 3732882 3325313 3337957 3561574 3795082 3940390 4162355 4700185 5366222 5128394 5185124 5086277 5243882 5184721 4926925 4994622 5186488 5091929 4671609 4342373 4279176 4382513 4519982 4610101 |-|
|2|91255128 151350094 237278081 326959569 410696291 512645218 642478833 778625801 945328865 1133683406 1238531048 1278084858 1355990450 1493683426 1668331146 1762668698 1687755464 1694675345 1643712922 1259579022 894999689 570061114 361158678 257823251 182899881 147442658 126937716 123805261 122037278 111563820 94056824 84160108 84066696 83118456 72319321 43705196 23281189 16996731 18341978 19725427 19176266 17031141 15938123 15614946 14680650 14010161 12894275 11479486 11449856 12580886 12436640 11270010 9252389 7714856 7120037 6682158 6346237 6152398 5930952 6089566 6283133 6046022 5739858 5654084 5761258 5920289 5344733 4889262 4593462 4637339 4473061 4181585 3983069 3814804 3702069 3656147 3675041 3748090 3868788 4219045 4450941 4379995 4236419 4259505 4206058 4108810 4090997 4092414 4026086 3964314 3977777 3969514 3957241 4053941 4184785 4236185 4240829 4210665 4181069 4301901 |-|
|3|51149132 66166877 91080141 129182667 181675541 245328810 341473121 442087064 530284866 614964530 727474981 824367141 938568405 1119153584 1326797969 1475767802 1302817896 1103701685 1002759986 711732214 529711890 499791394 401120853 239679915 124426725 80324066 58210921 46017124 41921118 38005510 34549946 30311214 30516513 37000658 41294998 42442922 40788186 35962425 32236533 30469306 28952381 27727829 25305467 21602589 17142689 13266750 9858405 7752206 6216194 5256024 4609704 4001256 3444046 3267333 3315416 3397001 3410956 3470369 3539870 3347718 3319118 3410594 3534566 3657348 3728859 3746654 3798038 3695432 3752986 3866169 3814094 3813282 3718417 3918234 4192432 4179619 4144308 4268110 4342289 4448526 4307738 4286621 4465377 4440877 4252629 4073609 4204972 4154181 3990989 4208691 4154946 3934521 4025883 4084820 4064177 4036394 4004696 4085915 4073310 3997300 |-|
|4|53508521 71431141 104348438 173621536 277145765 359248513 458395322 611245910 758274001 818138426 943282854 1213226342 1548656390 1533116657 968663395 703351674 723758281 734898686 741912146 692671066 536738889 302741033 152593589 89330649 52845849 46072260 56640306 78016017 85338693 85061894 81577561 77493285 75970121 77241474 80110729 82586081 83523729 81144814 79151114 76346909 68623115 60365030 51188234 41069350 32976002 27597613 21982346 16814939 13534875 11959409 9684813 7503197 5317709 3530717 2288190 1511067 1089854 1030965 1136720 1288110 1421501 1630286 1906820 2139033 2285569 2377638 2506635 2645309 2746136 2835942 2915050 3066164 2996459 2827089 2693318 2575913 2617974 2710918 2743627 2983934 3105434 3129485 3275606 3458378 3638115 3676274 3490173 3507910 3529686 3626997 3696504 3800141 3912041 3891529 4076449 4178733 4180964 4041542 3816152 3570723 |-|
|5|64039609 72746062 85370888 106253035 144798660 229072949 347674665 466218897 603184485 762416474 894576361 941624506 979194156 1087503128 1205704122 1228605589 1212572925 1094147526 1019001389 806093293 528551909 423154865 337033017 212680488 118669430 55321725 23750542 16754179 16977834 17013454 12012986 6948746 7418242 7975446 8171421 7519641 7450019 8670814 8943601 8777292 8381588 8270982 8399806 8039917 7276265 6390211 5623922 5279478 5086382 4864977 4554214 4195556 4079499 4477955 4806945 4931446 5253443 5016254 3941825 3200259 3070638 3335069 3757546 3764773 3645915 3623674 3719889 3962571 4288790 4918494 5629057 5756724 5660001 5431454 5215669 5111012 4992345 4852523 4744853 4621825 4462625 4362890 4301864 4242657 4413810 4477617 4264934 4222189 4233128 4210989 4093109 3971058 3867661 3869421 3865322 3786198 3749226 3593177 3518214 3498758 |-|
|6|65547329 91342275 127614755 180863289 245611393 314089051 384152520 497264227 604949222 711890981 826769174 975051749 1190650952 1415945933 1669287128 1723913425 1305775118 969529825 860132065 775893077 880674469 611418809 220754246 99018576 62508969 43431473 64994522 54216762 39927322 29815526 31062002 37919300 43131792 43482101 34921409 21633411 12918562 8414944 8662809 9742490 9857844 9726161 8561269 7247786 6130957 5323545 4778429 4413249 4565925 4482945 4611885 4617824 4495790 4479251 4183835 4242929 4570433 4389734 4120277 4055075 3662858 3727958 3696080 3883281 4591686 4767285 4932785 4782213 4582610 4429446 4396857 4087646 4150395 4329654 4422282 4403025 4384171 4357690 4418286 4540212 4571192 4437795 4302689 4206017 4094830 4354973 4432494 4395710 4431758 4433682 4481949 4354386 4207901 4082712 4071803 4215846 4433316 4284419 4404573 4442294 |-|
|7|44886945 36805650 28724994 23889029 21289385 22100140 24446475 26709037 29550294 32648283 35450454 38014881 36748994 32120537 29761124 28176225 23645430 20521398 19621835 17344225 13829099 11351609 10034994 9451650 7895026 6163073 5016881 4264419 3739875 3355774 2895474 2773409 2684186 2574526 2353940 1994067 1659242 1347987 1203608 1158461 1319850 1109811 829054 640970 542244 644150 876038 920416 777342 670968 744241 865044 861421 904402 983826 1235753 1502450 1509667 1529509 1573997 1623476 1864356 2252993 2434645 2457101 2435358 2534949 2691185 2780190 2674635 2420358 2081441 2197829 2752061 3629486 4302542 5096261 5843393 6341849 7099500 8219984 9045211 9321259 9918986 10688241 9965326 9277418 11607290 16281822 25633184 46611705 87074830 159453450 294903925 488815859 504118584 492021122 589231811 720346122 764511221 |-|
|8|840094724 915951202 1100369027 1345229419 1462616801 1264977101 1077429798 1008871209 1017821501 900695795 549156426 205643864 124636166 61799565 41125502 88339985 69013932 29321177 36796038 51100786 47711081 43428186 34092641 22787306 15799620 12320714 10964070 10382890 9993466 8792504 7936757 7446321 6656454 5663222 4961486 4357187 4067666 4426851 4900888 5304069 5399745 5041976 4336702 3788146 3699684 3711989 3655661 3640226 3653763 3727141 3798194 4107666 4503394 4569907 4710505 5014377 5121261 4969419 5087710 5351741 5254883 4965034 4839656 4776413 4640654 4540077 4454075 4685785 4808853 4646522 4636129 4690545 4822609 4902880 5027261 5190025 5204278 5207051 5292810 5256345 4906049 4399157 4281710 4276197 4265465 4312786 4529004 4978773 5211493 5061317 5047561 5039291 4942950 4976709 4979048 4849306 4546301 4364618 4310061 4470725 |-|
|9|51030170 58460174 69743546 91438797 123842195 178824136 254635344 368344772 521277106 702895501 910620242 1090145813 1308842425 1498068873 1632379826 1807932029 1849131289 1608718954 1258835499 1020253761 702520546 418021350 244479042 85793321 70900931 61075825 43118169 29803787 21996819 18683914 19855806 24841370 25648458 19167129 13326379 7935974 5003034 3719533 3810246 3667974 3309590 3397673 3692234 4208228 4623486 5017580 5030769 4718913 4577350 4581625 4700420 5007734 5276666 5660739 5837605 5949627 6111298 5569617 5029362 5031218 5235129 5454370 5771961 6115536 5962250 5571910 5198490 5200536 5487041 5570001 5688305 5542754 5164676 4841397 4988466 5933965 7248566 8499217 9357162 9824337 10161946 10208126 9999026 9855691 9894637 9843398 9753460 9769698 9911633 9975402 9836290 9578225 8843659 8390229 8286643 8061314 8115937 8443601 8075316 7450856 |-|
